Item No,Location,Brand,Type/Material,Style,Pattern,Size,Group,Color,Procurement Price,Cost Price,Base Rate (Without Tax),Discount Percentage,base_rate_discount,GST %,MRP Price (With Tax),Stock opening date,Stock closing date,Quantity available,Quantity sold
4269,T.Nagar,Tommy Hilfiger,Polyester,Jogger,Stonewashed,XL,Summer,Green,3715.32,4161.1584,6657.85344,20,5326.28,15,6125.22,02-Jun-24,30-Sep-24,515,386
4270,Chrompet,Celio,Polyester,Formal,Solid,XXL,Autumn,Red,2056.25,2303,3684.8,45,2026.64,18,2391.44,08-Jul-24,05-Nov-24,191,143
4271,Coimbatore,Tommy Hilfiger,Linen,Formal,Solid,M,Summer,Green,3845.77,4307.2624,6891.61984,0,6891.62,15,7925.36,28-Feb-24,27-Jun-24,468,351
4272,Salem,Zara,Cotton,Casual,Solid,M,Autumn,Blue,3955.21,4429.8352,7087.73632,5,6733.35,16,7810.69,05-Jun-24,03-Oct-24,202,152
4273,Coimbatore,Zara,Denim,Bootcut,Stripes,XL,Autumn,Grey,2729.48,3057.0176,4891.22816,30,3423.86,12,3834.72,02-Jun-24,30-Sep-24,958,718
4274,Madurai,Polo,Cotton,Formal,Washed,S,Summer,Red,3637.18,4073.6416,6517.82656,35,4236.59,15,4872.08,29-Oct-23,26-Feb-24,402,302
4275,Coimbatore,Celio,Denim,Slim,Solid,XL,Autumn,Blue,1923.47,2154.2864,3446.85824,0,3446.86,12,3860.48,09-Sep-23,07-Jan-24,653,490
4276,Salem,Zara,,Slim,Solid,L,Autumn,Red,2158.04,2417.0048,3867.20768,45,2126.96,16,2467.27,16-Apr-24,14-Aug-24,631,473
4277,Salem,Polo,,Slim,Stripes,S,Spring,Black,878.04,983.4048,1573.44768,40,944.07,18,1114,05-May-24,02-Sep-24,528,396
4278,Madurai,Celio,Cotton,Formal,Stripes,L,Winter,Red,3689.69,4132.4528,6611.92448,20,5289.54,15,6082.97,13-Mar-24,11-Jul-24,664,498
4279,T.Nagar,Arrow,Wool,Formal,Washed,S,Winter,Grey,570.69,639.1728,1022.67648,30,715.87,12,801.77,12-Jun-24,10-Oct-24,836,627
4280,Salem,Arrow,Cotton,Casual,Washed,L,Spring,Black,1412.96,1582.5152,2532.02432,45,1392.61,18,1643.28,26-Mar-24,24-Jul-24,117,88
4281,Madurai,Zara,Cotton,Slim,Plain,S,Spring,Black,2131.31,2387.0672,3819.30752,50,1909.65,14,2177,01-Feb-24,31-May-24,483,362
4282,Madurai,Zara,Wool,Formal,Washed,L,Winter,Red,3966.03,4441.9536,7107.12576,10,6396.41,12,7163.98,03-Nov-23,02-Mar-24,500,375
4283,Madurai,Celio,Denim,Casual,Solid,L,Summer,Green,3755.72,4206.4064,6730.25024,40,4038.15,12,4522.73,31-Jul-23,28-Nov-23,91,68
4284,Chrompet,Polo,Denim,Bootcut,Solid,XL,Winter,Red,2077.15,2326.408,3722.2528,10,3350.03,12,3752.03,18-May-24,15-Sep-24,324,243
4285,Trichy,Celio,Cotton,Casual,Plain,L,Winter,Grey,2207.99,2472.9488,3956.71808,20,3165.37,16,3671.83,22-Nov-23,21-Mar-24,572,429
4286,Madurai,Arrow,Polyester,Casual,Solid,L,Autumn,Blue,622.82,697.5584,1116.09344,15,948.68,18,1119.44,12-Jul-24,09-Nov-24,258,194
4287,Chrompet,Celio,Denim,Jogger,Plain,L,Summer,Black,1222.15,1368.808,2190.0928,0,2190.09,18,2584.31,27-Jan-24,26-May-24,642,482
4288,Salem,Allen Solly,,Jogger,Stripes,S,Spring,Grey,1682.82,1884.7584,3015.61344,40,1809.37,12,2026.49,02-Jul-24,30-Oct-24,103,77
4289,T.Nagar,Zara,,Jogger,Stonewashed,XL,Autumn,Black,2373.73,2658.5776,4253.72416,50,2126.86,15,2445.89,09-Mar-24,07-Jul-24,368,276
4290,T.Nagar,Allen Solly,Cotton,Bootcut,Stripes,S,Winter,Black,3663.51,4103.1312,6565.00992,10,5908.51,16,6853.87,19-Jun-24,17-Oct-24,189,142
4291,Trichy,Arrow,Cotton,Bootcut,Stripes,XL,Autumn,Black,3112.04,3485.4848,5576.77568,25,4182.58,16,4851.79,11-Dec-23,09-Apr-24,228,171
4292,Trichy,Celio,Wool,Jogger,Washed,L,Summer,Green,2722.97,3049.7264,4879.56224,10,4391.61,16,5094.27,27-Feb-24,26-Jun-24,962,722
4293,Trichy,Polo,Denim,Slim,Plain,L,Autumn,Blue,3460.45,3875.704,6201.1264,20,4960.9,14,5655.43,09-Dec-23,07-Apr-24,395,296
4294,Trichy,Polo,Polyester,Bootcut,Plain,XL,Winter,Grey,3771.64,4224.2368,6758.77888,10,6082.9,12,6812.85,18-Jan-24,17-May-24,841,631
4295,Salem,Arrow,Cotton,Formal,Solid,L,Autumn,Green,1542.23,1727.2976,2763.67616,30,1934.57,14,2205.41,28-Nov-23,27-Mar-24,921,691
4296,T.Nagar,Arrow,Wool,Casual,Stripes,XL,Autumn,Blue,1811.79,2029.2048,3246.72768,45,1785.7,16,2071.41,24-Jun-24,22-Oct-24,803,602
4297,Trichy,Celio,,Formal,Solid,XXL,Autumn,Blue,604.96,677.5552,1084.08832,35,704.66,18,831.5,26-Jul-24,23-Nov-24,824,618
4298,Madurai,Zara,,Casual,Washed,S,Winter,Blue,1857.21,2080.0752,3328.12032,50,1664.06,18,1963.59,05-Dec-23,03-Apr-24,939,704
4299,T.Nagar,Celio,Linen,Casual,Washed,S,Summer,Red,1698.52,1902.3424,3043.74784,0,3043.75,15,3500.31,17-Oct-23,14-Feb-24,881,661
4300,Trichy,Arrow,Cotton,Jogger,Solid,XXL,Winter,Blue,2028.74,2272.1888,3635.50208,15,3090.18,14,3522.81,11-Jun-24,09-Oct-24,493,370
4301,Madurai,Polo,Cotton,Formal,Washed,M,Summer,Red,2032.98,2276.9376,3643.10016,40,2185.86,18,2579.31,28-Jan-24,27-May-24,941,706
4302,Salem,Arrow,,Bootcut,Washed,S,Autumn,Blue,3769.99,4222.3888,6755.82208,5,6418.03,16,7444.91,01-May-24,29-Aug-24,751,563
4303,Coimbatore,Zara,Denim,Formal,Stonewashed,XXL,Autumn,Green,1643.62,1840.8544,2945.36704,50,1472.68,12,1649.4,21-Jan-24,20-May-24,152,114
4304,Madurai,Tommy Hilfiger,Denim,Casual,Washed,XL,Summer,Red,3048.78,3414.6336,5463.41376,25,4097.56,12,4589.27,13-Nov-23,12-Mar-24,81,61
4305,Chrompet,Tommy Hilfiger,Polyester,Jogger,Stripes,XL,Autumn,Green,2080.59,2330.2608,3728.41728,30,2609.89,18,3079.67,13-Nov-23,12-Mar-24,822,616
4306,Madurai,Tommy Hilfiger,Polyester,Casual,Plain,S,Autumn,Grey,3048.42,3414.2304,5462.76864,0,5462.77,14,6227.56,26-Sep-23,24-Jan-24,148,111
4307,Coimbatore,Polo,Cotton,Bootcut,Stonewashed,S,Winter,Red,1742.34,1951.4208,3122.27328,20,2497.82,16,2897.47,05-Jun-24,03-Oct-24,444,333
4308,Salem,Allen Solly,Polyester,Jogger,Solid,XL,Spring,Grey,1496.59,1676.1808,2681.88928,50,1340.94,12,1501.85,10-Oct-23,07-Feb-24,744,558
4309,Salem,Polo,Denim,Jogger,Plain,M,Summer,Grey,598.55,670.376,1072.6016,10,965.34,15,1110.14,11-Sep-23,09-Jan-24,476,357
4310,Trichy,Polo,Polyester,Slim,Stonewashed,S,Autumn,Red,1970.32,2206.7584,3530.81344,25,2648.11,12,2965.88,03-May-24,31-Aug-24,783,587
4311,Salem,Zara,Denim,Slim,Stonewashed,XXL,Autumn,Black,1572.51,1761.2112,2817.93792,40,1690.76,14,1927.47,13-Jan-24,12-May-24,487,365
4312,Salem,Arrow,Cotton,Casual,Plain,XL,Spring,Red,993.07,1112.2384,1779.58144,25,1334.69,12,1494.85,13-Sep-23,11-Jan-24,435,326
4313,Madurai,Arrow,Linen,Bootcut,Plain,XL,Winter,Blue,812.64,910.1568,1456.25088,5,1383.44,16,1604.79,04-Dec-23,02-Apr-24,805,604
4314,T.Nagar,Zara,Polyester,Slim,Washed,L,Spring,Red,1186.21,1328.5552,2125.68832,10,1913.12,14,2180.96,11-Jan-24,10-May-24,457,343
4315,Coimbatore,Allen Solly,Denim,Slim,Stonewashed,S,Autumn,Red,1137.31,1273.7872,2038.05952,5,1936.16,12,2168.5,23-Dec-23,21-Apr-24,464,348
4316,Madurai,Tommy Hilfiger,,Formal,Stonewashed,M,Spring,Green,2934.34,3286.4608,5258.33728,30,3680.84,15,4232.97,03-Jun-24,01-Oct-24,210,158
4317,Madurai,Zara,Cotton,Bootcut,Stripes,L,Winter,Blue,2912.95,3262.504,5220.0064,25,3915,12,4384.8,29-Apr-24,27-Aug-24,637,478
4318,Chrompet,Tommy Hilfiger,Wool,Casual,Solid,XXL,Winter,Black,2988.99,3347.6688,5356.27008,25,4017.2,14,4579.61,19-Nov-23,18-Mar-24,59,44
4319,Coimbatore,Allen Solly,Linen,Slim,Solid,M,Summer,Red,551.06,617.1872,987.49952,10,888.75,12,995.4,05-Apr-24,03-Aug-24,186,140
4320,Madurai,Allen Solly,Denim,Casual,Plain,XL,Summer,Black,592.48,663.5776,1061.72416,40,637.03,18,751.7,03-Feb-24,02-Jun-24,187,140
4321,Coimbatore,Zara,Cotton,Bootcut,Stripes,XXL,Autumn,Green,2364.69,2648.4528,4237.52448,0,4237.52,15,4873.15,04-Jun-24,02-Oct-24,551,413
4322,Salem,Tommy Hilfiger,Wool,Slim,Washed,L,Autumn,Green,2273.8,2546.656,4074.6496,30,2852.25,12,3194.52,27-Sep-23,25-Jan-24,292,219
4323,T.Nagar,Celio,,Bootcut,Solid,L,Summer,Green,3004.18,3364.6816,5383.49056,35,3499.27,18,4129.14,04-Jan-24,03-May-24,196,147
4324,Coimbatore,Arrow,Denim,Casual,Plain,XL,Autumn,Green,3348.36,3750.1632,6000.26112,25,4500.2,12,5040.22,01-Mar-24,29-Jun-24,626,470
4325,Trichy,Celio,Linen,Bootcut,Solid,S,Summer,Black,2752.26,3082.5312,4932.04992,35,3205.83,16,3718.76,29-Mar-24,27-Jul-24,934,700
4326,Coimbatore,Zara,Polyester,Casual,Stonewashed,XXL,Autumn,Blue,823.47,922.2864,1475.65824,5,1401.88,12,1570.11,07-Dec-23,05-Apr-24,400,300
4327,T.Nagar,Zara,Linen,Casual,Stripes,XL,Spring,Black,3543.08,3968.2496,6349.19936,10,5714.28,12,6399.99,30-Oct-23,27-Feb-24,820,615
4328,Salem,Arrow,Cotton,Jogger,Solid,XL,Spring,Grey,2210.2,2475.424,3960.6784,5,3762.64,18,4439.92,30-Jan-24,29-May-24,936,702
4329,Madurai,Allen Solly,Wool,Casual,Washed,XL,Summer,Blue,520.41,582.8592,932.57472,20,746.06,15,857.97,30-Sep-23,28-Jan-24,177,133
4330,Coimbatore,Zara,Denim,Slim,Stripes,S,Autumn,Green,3969.21,4445.5152,7112.82432,30,4978.98,18,5875.2,11-Mar-24,09-Jul-24,449,337
4331,Chrompet,Celio,,Bootcut,Washed,M,Winter,Grey,2120.82,2375.3184,3800.50944,5,3610.48,14,4115.95,07-Aug-23,05-Dec-23,220,165
4332,Madurai,Arrow,,Formal,Plain,M,Autumn,Grey,3402.88,3811.2256,6097.96096,35,3963.67,16,4597.86,24-Feb-24,23-Jun-24,875,656
4333,Trichy,Celio,Polyester,Casual,Stonewashed,M,Spring,Red,2494.87,2794.2544,4470.80704,30,3129.56,18,3692.88,15-Mar-24,13-Jul-24,163,122
4334,Coimbatore,Polo,Cotton,Bootcut,Stonewashed,S,Summer,Blue,512.58,574.0896,918.54336,15,780.76,16,905.68,24-May-24,21-Sep-24,104,78
4335,Chrompet,Arrow,Linen,Slim,Stripes,L,Summer,Blue,1350.39,1512.4368,2419.89888,15,2056.91,12,2303.74,28-Jun-24,26-Oct-24,823,617
4336,Coimbatore,Tommy Hilfiger,Cotton,Formal,Solid,L,Summer,Green,1673.78,1874.6336,2999.41376,20,2399.53,18,2831.45,05-Mar-24,03-Jul-24,459,344
4337,Salem,Tommy Hilfiger,,Slim,Stonewashed,XL,Spring,Grey,2295.52,2570.9824,4113.57184,50,2056.79,15,2365.31,13-Jun-24,11-Oct-24,92,69
4338,Madurai,Celio,Wool,Slim,Plain,XL,Summer,Red,3826.94,4286.1728,6857.87648,20,5486.3,18,6473.83,20-Dec-23,18-Apr-24,320,240
4339,Trichy,Arrow,Denim,Formal,Solid,M,Winter,Red,1243.72,1392.9664,2228.74624,35,1448.69,16,1680.48,24-Sep-23,22-Jan-24,312,234
4340,Chrompet,Polo,Wool,Bootcut,Plain,S,Autumn,Red,3997.15,4476.808,7162.8928,20,5730.31,16,6647.16,07-Feb-24,06-Jun-24,253,190
4341,Coimbatore,Celio,Polyester,Jogger,Stripes,XXL,Autumn,Green,2303.92,2580.3904,4128.62464,40,2477.17,16,2873.52,25-Jan-24,24-May-24,423,317
4342,Madurai,Polo,Cotton,Casual,Solid,S,Spring,Red,1162.56,1302.0672,2083.30752,5,1979.14,15,2276.01,11-Mar-24,09-Jul-24,928,696
4343,Trichy,Zara,Denim,Slim,Stripes,M,Autumn,Black,1260.32,1411.5584,2258.49344,40,1355.1,14,1544.81,20-Apr-24,18-Aug-24,642,482
4344,Coimbatore,Polo,Polyester,Bootcut,Stonewashed,L,Summer,Grey,1468.27,1644.4624,2631.13984,5,2499.58,14,2849.52,12-Jan-24,11-May-24,419,314
4345,Coimbatore,Celio,Polyester,Casual,Washed,XXL,Winter,Blue,3666,4105.92,6569.472,50,3284.74,14,3744.6,20-Jan-24,19-May-24,269,202
4346,T.Nagar,Zara,Cotton,Casual,Plain,S,Autumn,Red,2325.37,2604.4144,4167.06304,30,2916.94,14,3325.31,09-Sep-23,07-Jan-24,366,274
4347,T.Nagar,Allen Solly,Cotton,Bootcut,Stripes,M,Spring,Blue,2957.43,3312.3216,5299.71456,5,5034.73,18,5940.98,20-Jul-24,17-Nov-24,576,432
4348,Madurai,Celio,Linen,Bootcut,Stripes,M,Winter,Black,3840.98,4301.8976,6883.03616,35,4473.97,12,5010.85,12-Jul-24,09-Nov-24,890,668
4349,Coimbatore,Polo,Denim,Slim,Solid,S,Spring,Blue,2983.14,3341.1168,5345.78688,50,2672.89,15,3073.82,05-Jun-24,03-Oct-24,975,731
4350,Salem,Celio,Polyester,Slim,Stonewashed,XL,Winter,Grey,604.76,677.3312,1083.72992,30,758.61,15,872.4,15-Feb-24,14-Jun-24,208,156
4351,Madurai,Zara,Polyester,Bootcut,Solid,S,Summer,Blue,2902.2,3250.464,5200.7424,20,4160.59,14,4743.07,15-Sep-23,13-Jan-24,305,229
4352,Madurai,Allen Solly,,Casual,Stonewashed,XXL,Autumn,Grey,2054.86,2301.4432,3682.30912,45,2025.27,18,2389.82,21-Nov-23,20-Mar-24,474,356
4353,T.Nagar,Allen Solly,Denim,Bootcut,Stonewashed,M,Summer,Blue,1422.22,1592.8864,2548.61824,40,1529.17,15,1758.55,31-Mar-24,29-Jul-24,736,552
4354,Madurai,Zara,,Casual,Washed,M,Spring,Grey,1833.31,2053.3072,3285.29152,15,2792.5,14,3183.45,05-Apr-24,03-Aug-24,102,76
4355,Chrompet,Celio,Cotton,Bootcut,Stonewashed,XL,Autumn,Green,3237.87,3626.4144,5802.26304,20,4641.81,15,5338.08,06-Jun-24,04-Oct-24,525,394
4356,Salem,Tommy Hilfiger,Polyester,Slim,Stonewashed,M,Winter,Black,3365.76,3769.6512,6031.44192,45,3317.29,15,3814.88,04-Jul-24,01-Nov-24,60,45
4357,Trichy,Tommy Hilfiger,Denim,Casual,Stonewashed,XL,Autumn,Red,3316.71,3714.7152,5943.54432,5,5646.37,15,6493.33,20-Feb-24,19-Jun-24,631,473
4358,T.Nagar,Arrow,Linen,Jogger,Stripes,M,Autumn,Grey,3534.86,3959.0432,6334.46912,45,3483.96,12,3902.04,20-Jul-24,17-Nov-24,966,724
4359,T.Nagar,Arrow,Polyester,Formal,Stripes,XL,Summer,Blue,2568.78,2877.0336,4603.25376,30,3222.28,14,3673.4,03-Apr-24,01-Aug-24,603,452
4360,T.Nagar,Arrow,,Jogger,Stonewashed,L,Winter,Grey,2141.21,2398.1552,3837.04832,0,3837.05,14,4374.24,03-Jun-24,01-Oct-24,360,270
4361,Coimbatore,Tommy Hilfiger,Wool,Casual,Stonewashed,XXL,Winter,Grey,936.78,1049.1936,1678.70976,40,1007.23,12,1128.1,28-May-24,25-Sep-24,618,464
4362,Madurai,Arrow,Polyester,Jogger,Stripes,S,Winter,Red,1133.05,1269.016,2030.4256,50,1015.21,16,1177.64,26-Jun-24,24-Oct-24,230,172
4363,T.Nagar,Tommy Hilfiger,Wool,Formal,Washed,S,Spring,Black,2300.19,2576.2128,4121.94048,5,3915.84,15,4503.22,20-Jun-24,18-Oct-24,799,599
4364,Madurai,Polo,,Slim,Plain,M,Spring,Black,2715.04,3040.8448,4865.35168,30,3405.75,18,4018.78,21-Jan-24,20-May-24,998,748
4365,Chrompet,Celio,Wool,Formal,Stonewashed,XL,Summer,Blue,1230.41,1378.0592,2204.89472,5,2094.65,16,2429.79,10-Feb-24,09-Jun-24,148,111
4366,Chrompet,Allen Solly,Denim,Slim,Washed,M,Spring,Green,3364.75,3768.52,6029.632,5,5728.15,15,6587.37,22-Jan-24,21-May-24,756,567
4367,Madurai,Celio,Linen,Formal,Stonewashed,S,Winter,Grey,899.7,1007.664,1612.2624,30,1128.58,16,1309.15,22-Feb-24,21-Jun-24,165,124
4368,Salem,Celio,Wool,Formal,Washed,XL,Spring,Black,3299.73,3695.6976,5913.11616,10,5321.8,18,6279.72,16-Oct-23,13-Feb-24,843,632
4369,Trichy,Allen Solly,Wool,Jogger,Washed,XL,Autumn,Grey,780.29,873.9248,1398.27968,30,978.8,18,1154.98,28-Nov-23,27-Mar-24,532,399
4370,Salem,Allen Solly,Linen,Bootcut,Plain,XL,Spring,Grey,1200.11,1344.1232,2150.59712,40,1290.36,18,1522.62,05-Jan-24,04-May-24,636,477
4371,Salem,Celio,Denim,Slim,Solid,L,Spring,Red,3436.3,3848.656,6157.8496,10,5542.06,18,6539.63,01-Aug-23,29-Nov-23,411,308
4372,Trichy,Zara,Wool,Casual,Stonewashed,XL,Summer,Green,1440.22,1613.0464,2580.87424,10,2322.79,15,2671.21,05-Jun-24,03-Oct-24,116,87
4373,Trichy,Polo,Wool,Slim,Washed,L,Spring,Black,1793.38,2008.5856,3213.73696,25,2410.3,16,2795.95,23-Mar-24,21-Jul-24,732,549
4374,Chrompet,Tommy Hilfiger,,Slim,Stonewashed,XXL,Autumn,Blue,3276.22,3669.3664,5870.98624,15,4990.34,16,5788.79,24-Aug-23,22-Dec-23,116,87
4375,Salem,Celio,Polyester,Bootcut,Solid,XL,Summer,Green,2915.2,3265.024,5224.0384,10,4701.63,14,5359.86,25-Aug-23,23-Dec-23,278,208
4376,Salem,Polo,Polyester,Formal,Solid,XXL,Summer,Green,3028.09,3391.4608,5426.33728,50,2713.17,14,3093.01,26-May-24,23-Sep-24,785,589
4377,Salem,Zara,Denim,Jogger,Solid,L,Winter,Green,2081.48,2331.2576,3730.01216,50,1865.01,14,2126.11,30-Jun-24,28-Oct-24,524,393
4378,Madurai,Celio,Denim,Bootcut,Washed,XL,Winter,Grey,3383.64,3789.6768,6063.48288,50,3031.74,16,3516.82,08-Mar-24,06-Jul-24,635,476
4379,Salem,Celio,Cotton,Formal,Solid,S,Winter,Blue,3706.36,4151.1232,6641.79712,0,6641.8,16,7704.49,16-Jan-24,15-May-24,340,255
4380,Coimbatore,Polo,Linen,Casual,Washed,XL,Summer,Grey,1368.53,1532.7536,2452.40576,40,1471.44,12,1648.01,23-Jun-24,21-Oct-24,702,526
4381,Salem,Zara,Polyester,Jogger,Solid,XXL,Summer,Black,1477.16,1654.4192,2647.07072,25,1985.3,15,2283.09,20-Dec-23,18-Apr-24,443,332
4382,Chrompet,Zara,,Casual,Stonewashed,S,Spring,Green,1186.11,1328.4432,2125.50912,5,2019.23,18,2382.69,15-Mar-24,13-Jul-24,431,323
4383,Madurai,Celio,Denim,Jogger,Plain,S,Spring,Grey,1693.26,1896.4512,3034.32192,40,1820.59,15,2093.68,31-Mar-24,29-Jul-24,596,447
4384,Chrompet,Tommy Hilfiger,Denim,Bootcut,Stripes,S,Spring,Red,3992.76,4471.8912,7155.02592,50,3577.51,12,4006.81,20-May-24,17-Sep-24,692,519
4385,Chrompet,Arrow,Linen,Slim,Stripes,S,Summer,Blue,1738.47,1947.0864,3115.33824,45,1713.44,14,1953.32,08-Jul-24,05-Nov-24,981,736
4386,Chrompet,Celio,,Slim,Stonewashed,S,Spring,Black,2836.68,3177.0816,5083.33056,30,3558.33,14,4056.5,03-Jul-24,31-Oct-24,304,228
4387,Salem,Celio,Polyester,Formal,Plain,XL,Spring,Green,662.72,742.2464,1187.59424,25,890.7,18,1051.03,24-Jan-24,23-May-24,478,358
4388,Chrompet,Arrow,Polyester,Casual,Plain,XXL,Spring,Blue,3978.58,4456.0096,7129.61536,30,4990.73,18,5889.06,09-Jun-24,07-Oct-24,391,293
4389,Trichy,Polo,,Casual,Stonewashed,M,Winter,Blue,893.7,1000.944,1601.5104,25,1201.13,14,1369.29,28-Feb-24,27-Jun-24,592,444
4390,Trichy,Arrow,Polyester,Casual,Washed,S,Autumn,Grey,2007.9,2248.848,3598.1568,5,3418.25,16,3965.17,04-Dec-23,02-Apr-24,626,470
4391,T.Nagar,Celio,Linen,Bootcut,Stripes,L,Summer,Blue,933.03,1044.9936,1671.98976,10,1504.79,16,1745.56,09-May-24,06-Sep-24,608,456
4392,T.Nagar,Zara,Denim,Jogger,Stonewashed,M,Summer,Grey,1276.49,1429.6688,2287.47008,20,1829.98,18,2159.38,29-Dec-23,27-Apr-24,353,265
4393,Salem,Tommy Hilfiger,Polyester,Jogger,Stonewashed,S,Summer,Green,747.43,837.1216,1339.39456,20,1071.52,12,1200.1,02-Dec-23,31-Mar-24,803,602
4394,Salem,Allen Solly,Denim,Jogger,Stonewashed,M,Winter,Blue,3300.29,3696.3248,5914.11968,20,4731.3,15,5440.99,19-May-24,16-Sep-24,988,741
4395,Coimbatore,Tommy Hilfiger,Cotton,Jogger,Plain,XXL,Autumn,Red,3116.11,3490.0432,5584.06912,15,4746.46,15,5458.43,22-Dec-23,20-Apr-24,273,205
4396,Chrompet,Arrow,Cotton,Jogger,Plain,XL,Autumn,Green,3056.34,3423.1008,5476.96128,5,5203.11,12,5827.48,18-Sep-23,16-Jan-24,498,374
4397,Salem,Tommy Hilfiger,Cotton,Slim,Stripes,S,Autumn,Grey,871.95,976.584,1562.5344,10,1406.28,15,1617.22,07-Sep-23,05-Jan-24,97,73
4398,Coimbatore,Arrow,Denim,Formal,Stripes,L,Autumn,Black,3164.56,3544.3072,5670.89152,40,3402.53,16,3946.93,17-Jan-24,16-May-24,285,214
4399,T.Nagar,Celio,,Slim,Washed,S,Winter,Green,2663.86,2983.5232,4773.63712,15,4057.59,14,4625.65,05-Feb-24,04-Jun-24,558,418
4400,T.Nagar,Arrow,Wool,Jogger,Washed,L,Spring,Blue,2729.58,3057.1296,4891.40736,15,4157.7,14,4739.78,10-May-24,07-Sep-24,609,457
4401,Chrompet,Allen Solly,Wool,Casual,Plain,M,Winter,Black,3822.09,4280.7408,6849.18528,5,6506.73,14,7417.67,19-Feb-24,18-Jun-24,900,675
4402,Coimbatore,Allen Solly,Linen,Jogger,Stonewashed,M,Winter,Red,592.96,664.1152,1062.58432,5,1009.46,15,1160.88,21-Apr-24,19-Aug-24,194,146
4403,Trichy,Allen Solly,Polyester,Slim,Washed,L,Autumn,Blue,3472.52,3889.2224,6222.75584,5,5911.62,12,6621.01,16-Jun-24,14-Oct-24,544,408
4404,T.Nagar,Celio,Linen,Bootcut,Plain,XXL,Summer,Grey,3015.74,3377.6288,5404.20608,30,3782.94,18,4463.87,11-May-24,08-Sep-24,76,57
4405,T.Nagar,Celio,Wool,Formal,Solid,M,Summer,Blue,3121.6,3496.192,5593.9072,15,4754.82,16,5515.59,29-Jun-24,27-Oct-24,582,436
4406,Trichy,Zara,Polyester,Jogger,Plain,XXL,Winter,Blue,2222.04,2488.6848,3981.89568,0,3981.9,16,4619,16-Aug-23,14-Dec-23,791,593
4407,Chrompet,Celio,Polyester,Bootcut,Plain,XXL,Winter,Grey,2862.03,3205.4736,5128.75776,40,3077.25,16,3569.61,22-Jun-24,20-Oct-24,989,742
4408,Chrompet,Allen Solly,Denim,Formal,Solid,M,Summer,Grey,3027.49,3390.7888,5425.26208,25,4068.95,14,4638.6,28-Jul-24,25-Nov-24,548,411
4409,Chrompet,Polo,Wool,Formal,Plain,L,Spring,Green,2436.65,2729.048,4366.4768,5,4148.15,14,4728.89,12-Oct-23,09-Feb-24,584,438
4410,T.Nagar,Polo,Linen,Casual,Plain,S,Winter,Blue,2410.74,2700.0288,4320.04608,35,2808.03,14,3201.15,12-Nov-23,11-Mar-24,890,668
4411,Madurai,Arrow,Denim,Casual,Stonewashed,S,Winter,Green,2739.52,3068.2624,4909.21984,40,2945.53,16,3416.81,14-Sep-23,12-Jan-24,851,638
4412,Chrompet,Tommy Hilfiger,Polyester,Jogger,Plain,M,Summer,Black,1962.16,2197.6192,3516.19072,20,2812.95,16,3263.02,21-Jun-24,19-Oct-24,982,736
4413,Coimbatore,Polo,Cotton,Bootcut,Stripes,L,Winter,Grey,3727.57,4174.8784,6679.80544,35,4341.87,15,4993.15,19-Sep-23,17-Jan-24,114,86
4414,Coimbatore,Polo,Wool,Slim,Stonewashed,M,Spring,Grey,2823.01,3161.7712,5058.83392,30,3541.18,14,4036.95,17-Jun-24,15-Oct-24,443,332
4415,Salem,Tommy Hilfiger,Polyester,Jogger,Solid,XXL,Summer,Grey,3528.84,3952.3008,6323.68128,35,4110.39,16,4768.05,25-Nov-23,24-Mar-24,697,523
4416,Madurai,Arrow,Polyester,Slim,Stripes,S,Spring,Black,2507.1,2807.952,4492.7232,20,3594.18,12,4025.48,23-Feb-24,22-Jun-24,876,657
4417,Coimbatore,Allen Solly,Polyester,Casual,Plain,S,Summer,Black,3947.6,4421.312,7074.0992,35,4598.16,14,5241.9,19-Dec-23,17-Apr-24,851,638
4418,T.Nagar,Zara,Wool,Casual,Washed,L,Spring,Red,2103.72,2356.1664,3769.86624,15,3204.39,16,3717.09,16-Feb-24,15-Jun-24,558,418
4419,Chrompet,Zara,Denim,Bootcut,Solid,S,Summer,Black,1612.71,1806.2352,2889.97632,35,1878.48,14,2141.47,23-Jan-24,22-May-24,151,113
4420,Salem,Allen Solly,Polyester,Jogger,Stripes,L,Summer,Grey,2129.46,2384.9952,3815.99232,5,3625.19,15,4168.97,24-Sep-23,22-Jan-24,747,560
4421,Trichy,Polo,Denim,Bootcut,Washed,XL,Spring,Black,2461.36,2756.7232,4410.75712,40,2646.45,12,2964.02,01-Dec-23,30-Mar-24,679,509
4422,Coimbatore,Polo,Polyester,Slim,Stonewashed,XXL,Autumn,Green,3906.71,4375.5152,7000.82432,0,7000.82,14,7980.93,11-Sep-23,09-Jan-24,436,327
4423,Coimbatore,Zara,Polyester,Jogger,Washed,L,Spring,Grey,1955,2189.6,3503.36,15,2977.86,16,3454.32,18-Sep-23,16-Jan-24,859,644
4424,Coimbatore,Arrow,Denim,Slim,Plain,M,Summer,Blue,3683.32,4125.3184,6600.50944,20,5280.41,18,6230.88,28-Apr-24,26-Aug-24,189,142
4425,Madurai,Arrow,Cotton,Bootcut,Solid,XL,Spring,Blue,1115.57,1249.4384,1999.10144,10,1799.19,15,2069.07,19-Dec-23,17-Apr-24,262,196
4426,Coimbatore,Celio,Linen,Casual,Solid,M,Spring,Grey,2700.48,3024.5376,4839.26016,15,4113.37,14,4689.24,17-May-24,14-Sep-24,209,157
